,date,username,tweet
0,2023-05-30 23:59:44+00:00,AdeSaung,"@ReflyHZ @YouTube Resmi!!! Presiden Joko Widodo  cawe cawe, katanya sih cawe cawe nya dipake meng endors Prabowo bu… https://t.co/ExIK6WCM1S"
1,2023-05-30 23:59:24+00:00,DewaSudana9,@tifsembiring Ini paling ada hubunganx dg pilpres Indonesia 2024 nanti dmn eliktabilitas Mas Anies dlm survey itu t… https://t.co/YwW5631skF
2,2023-05-30 23:53:44+00:00,maha_sakti,"@PDemokrat Sepertinya pak jokowi head to head dg pak sby di pilpres 2024, demokrat bisa aja"
3,2023-05-30 23:52:00+00:00,fadyahrismaaul,Elite Golkar Bicara Kans Duet Prabowo-Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
4,2023-05-30 23:48:29+00:00,WiyonoHw,@dennyindrayana @KataBewe @nazaqistsha Teruslah perjuangkan  arah yg benar menuju  pilpres yg jurdil di 2024.  Satu… https://t.co/8Wjx18VndG
5,2023-05-30 23:45:04+00:00,amaliazak,Elite Golkar Bicara Kans Duet Prabowo-Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
6,2023-05-30 23:33:51+00:00,Irawan15758608,"@KakekHalal Makin ngaco dan makin panik para cebong kurap liat Anis, makin ditingkatkan semburan caci maki kepada A… https://t.co/IqpNxmwcUe"
7,2023-05-30 23:25:17+00:00,Ijoroyo21,"@BosPurwa @PartaiSocmed Mau ada seribu Anies atau seribu Surya Paloh dibelakangmu kalau Alloh SWT gak berkehendak,… https://t.co/Dx6IWMdqks"
8,2023-05-30 23:19:01+00:00,dinodachi03,"RT @qentrunx: @Mdy_Asmara1701 Suaranya gk jelas putus² 😌
 ""Kami berharap kekhawatiran-khawatiran yang tadi diungkapkan tidak benar. Itu ada…"
9,2023-05-30 23:12:03+00:00,hezmaan,"@budiawandki @vit_sapipa @notrespawn @QuartyRudiq @denismalhotra Pantesan pak Anies menang di jakarta ya, soalnya r… https://t.co/YiAgFNlQvX"
10,2023-05-30 22:59:50+00:00,MalikAbdul30041,"@tvOneNews Utk persiapan Capres Thn 2024,,para kader2 Gerindra memuji memuja LAWAN DEBAT PilPres 2019...tp para kam… https://t.co/Lc6wjciTMf"
11,2023-05-30 22:59:13+00:00,BudiSps,@tifsembiring Pilpres'24.....anda catat..PRABOWO menang mutlak
12,2023-05-30 22:54:32+00:00,iromismet,"RT @Pt0nks1matupang: @__AnakKolong @gibran_tweet Semalam, seorang influencer yg cukup dikenal di republik ini, bertanya kepada saya, tentan…"
13,2023-05-30 22:51:13+00:00,ADANGSUGANDA11,"@tifsembiring Pa Anies Baswedan tidak aneh kalah disurvei, pilkada DKI beliau kalah disurvei menang di pilkada DKI, sama dengan pilpres 2024"
14,2023-05-30 22:49:49+00:00,Hasanbasri_RA,"@mohmahfudmd Pak @mohmahfudmd Sebagai rakyat boleh ya measumsi Politik, bahwa ada pihak yg ketakutan luwar biasa ka… https://t.co/iOCdZXpraK"
15,2023-05-30 22:49:14+00:00,syarifntoke,"Cawe2 Pilpres itu buat ngatur MK, Ngatur MA. Hasilnya cuma dua pasangan calon pd  Pilpres 2024"
16,2023-05-30 22:47:40+00:00,idaYATI78661703,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
17,2023-05-30 22:45:10+00:00,HendarwatiH,@Leonita_Lestari Pakde tolong jangan pilih Prabowo jejak digitalnya waktu pilpres 2019 jangan pernah dilupakan apap… https://t.co/LrMwRUjATD
18,2023-05-30 22:39:58+00:00,HendarwatiH,"RT @Pt0nks1matupang: @__AnakKolong @gibran_tweet Semalam, seorang influencer yg cukup dikenal di republik ini, bertanya kepada saya, tentan…"
19,2023-05-30 22:37:26+00:00,Hanwen98780070,@hc_poirot Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021… https://t.co/vH7J4ys5Tg
20,2023-05-30 22:32:42+00:00,RanggaSayhan,"RT @PutraErlangga95: Hii tweps, mari kite polling lagi yak 😊
Andaikata Pilpres 2024 ada 3 Calon maka Anda akan pilih? 🤔

Setelah vote jan l…"
21,2023-05-30 22:27:32+00:00,y_yumnan,"@democrazymedia Pak ketipak ketipung suara pujian bertalu talu. 
Pak Mahfud gagal jadi Cawapres di Pilpres yg lalu.… https://t.co/gJ7VGoi7uD"
22,2023-05-30 22:22:09+00:00,RiyantoBintan,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
23,2023-05-30 22:12:00+00:00,tubanesse_man,@Leonita_Lestari Tim Prabowo ga pede ngadepin pilpres. Kenapa harus bawa2 presiden dan keluarganya. Takut Prabowo k… https://t.co/EyCX4MpIEu
24,2023-05-30 21:49:31+00:00,Wisnuprdt_,"Betapa bebasnya pak Jokowi saat lengser sebagai presiden dan menikmati perhelatan pilpres 2024 nanti, dimana beliau… https://t.co/AQ3gdTTfaW"
25,2023-05-30 21:39:23+00:00,Thoyib83928012,"@abwnews_ Gassss
Ingat para relawan... 2024 KPU, Bawaslu, Rezim adalah musuh nyata pilkada, pilpres.. so wajib dan… https://t.co/4o8alcW48G"
26,2023-05-30 21:36:24+00:00,SoumokilWillem,Apa bedanya Ahok di Pilkada DKI 2017 ( isu agama ) dengan Jusuf Kalla menjelang Pilpres 2024 ( isu rasis ) ???
27,2023-05-30 21:33:18+00:00,Yedi_ExTKI,@KompasTV Takut banget sih jagoan capresnya kalah di pilpres 2024 sampe harus ikut campur urusan copras capres segala.
28,2023-05-30 21:16:22+00:00,lip_family,"@tifsembiring Indonesia,Pilpres Kardus digembok.
2019-2024,itu Presidennya Prabowo,tp Napa bisa Jokowi yg menjabat.
#padamkanpdip"
29,2023-05-30 20:58:35+00:00,Yedi_ExTKI,@KompasTV Klo karena gak ketakutan jagoan capresnya akan kalah di pilpres ya gak akan ikut campur urusan copras cap… https://t.co/ciyLcwmJwc
30,2023-05-30 20:24:05+00:00,fmrizal,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
31,2023-05-30 19:56:10+00:00,driveronline_17,@Tuti_embeeeeer @AntiPekines @DrEvaChaniago @Nurmantyo_Gatot Covid 19 bermula dr china. Strain galur murni C19 past… https://t.co/INPHOAhNa1
